,id,is_bjork_inspo,title,artist,album,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1OOiv69qQbBuSAveLjsyIL,False,I Could Go,Oberhofer,Time Capsules II,['Oberhofer'],0.573,0.798,11,-4.665,1,0.0359,0.182,0.0,0.121,0.44,120.021,267440,4
1,55MEbqyxZphjB0beZ7YT0f,False,Birthday,The Sugarcubes,Life's Too Good,['The Sugarcubes'],0.325,0.657,0,-8.203,1,0.0422,0.0276,0.000345,0.0788,0.221,183.156,239533,4
2,4ld9QYEpwDD3m8gGfUn19Z,False,Porno,Arcade Fire,Reflektor,['Arcade Fire'],0.689,0.529,6,-8.057,0,0.0287,0.122,0.121,0.0996,0.638,98.051,362839,4
3,5NvOzItMdV7wqIsNe3GQNX,False,Staying Alive,Cursive,The Ugly Organ,['Cursive'],0.12,0.536,5,-10.108,1,0.0638,0.00899,0.859,0.134,0.0346,176.362,604373,4
4,7nTDegSvJGpENeHv1EhPtx,False,You Look So Fine,Garbage,Version 2.0 (20th Anniversary Deluxe Edition / Remastered),['Garbage'],0.561,0.632,4,-9.084,0,0.0238,0.139,0.0218,0.0803,0.368,103.944,322962,4
5,3m2Zd230K68bC4Qe961d9p,False,Rid Of Me,PJ Harvey,Rid Of Me,['PJ Harvey'],0.715,0.0885,9,-20.682,0,0.0521,0.00485,0.00694,0.155,0.544,125.383,268827,4
6,3HfEgAaf0koxBpBB8NvGda,False,When You Sleep,My Bloody Valentine,Loveless,['My Bloody Valentine'],0.4,0.82,11,-12.281,1,0.0466,0.000295,0.79,0.236,0.135,128.894,251933,4
7,2SpHd4lGMrJMIQDf92V6VP,False,Agoraphobia,Deerhunter,Microcastle,['Deerhunter'],0.579,0.94,4,-6.89,1,0.0375,0.0309,0.862,0.656,0.401,120.097,202640,4
8,5TepVSQ254z3bdQmU8u0GV,False,Deadzone,Ladytron,Ladytron,['Ladytron'],0.628,0.928,7,-5.663,1,0.0491,0.00279,0.432,0.131,0.337,119.999,266140,4
9,0WyKApow72EU4ifm4ubTKq,False,Play Dead,Björk,Scary Halloween Songs,['Björk'],0.507,0.489,10,-12.177,0,0.0278,0.000342,0.114,0.146,0.373,77.339,236707,4
10,3mTd93uhhULetxkq4tzPFW,False,Without You My Life Would Be Boring - Shaken-Up Version,The Knife,Shaken-Up Versions,['The Knife'],0.666,0.802,9,-8.793,1,0.162,0.129,0.0289,0.606,0.785,143.924,284778,4
11,3jExrihWM2P73pm71nKC5V,False,Warm In The Winter,Glass Candy,Warm In The Winter,['Glass Candy'],0.563,0.748,6,-12.482,1,0.0373,0.0328,0.166,0.0993,0.039,127.203,405213,4
12,1o69LFoxxbMjABrZjkpDFi,False,妖星乱舞,Nobuo Uematsu,FINAL FANTASY VI Original Soundtrack,['Nobuo Uematsu'],0.274,0.382,1,-11.272,1,0.0383,0.295,0.737,0.115,0.0588,129.291,1059933,5
13,1z4xjDLLWJgG48Bn8OCxZv,False,Help I'm Alive,Metric,Fantasies,['Metric'],0.565,0.877,5,-4.561,0,0.0614,0.00813,0.00251,0.26,0.389,118.484,285920,4
14,0V11rUAQvYjJ2jJRc0e0BK,False,Sick Muse,Metric,Fantasies,['Metric'],0.432,0.963,9,-4.413,1,0.0901,0.00313,0.00355,0.286,0.46,149.01,257427,4
15,0N2Fm4f5grv19Taxa3g2M3,False,Les and Ray,Le Tigre,Le Tigre,['Le Tigre'],0.727,0.896,0,-5.564,1,0.0856,0.222,0.155,0.0908,0.579,137.948,126093,4
16,0MRylncmeKOjDF14R8r6eK,False,Eau D' Bedroom Dancing,Le Tigre,Le Tigre,['Le Tigre'],0.61,0.65,6,-5.873,1,0.0413,0.00598,0.222,0.0934,0.886,116.724,175533,4
17,7cgQlPVe2km50oQNagseTR,False,Found Out,Caribou,Swim,['Caribou'],0.457,0.828,0,-7.286,1,0.164,0.145,1.5e-05,0.0812,0.194,113.996,198949,4
18,7Dm3dV3WPNdTgxoNY7YFnc,False,The Chain - 2004 Remaster,Fleetwood Mac,Rumours,['Fleetwood Mac'],0.522,0.755,9,-6.95,1,0.0524,0.0517,6.63e-05,0.0781,0.637,151.796,269813,4
19,6vTSyIt0CUXaB6mDWjFsBA,False,I Don't Need Society,D.R.I.,The Dirty Rotten CD,['D.R.I.'],0.379,0.922,5,-5.693,1,0.175,0.00165,0.068,0.256,0.352,119.149,76947,4
20,5773KSWFzg9kCc8yazjbSt,False,Deceptacon,Le Tigre,Le Tigre,['Le Tigre'],0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,184627,4
21,0P6USuYzHP8GdAyNKLkTZi,False,#1 Crush,Garbage,Absolute Garbage,['Garbage'],0.635,0.647,7,-7.055,0,0.0235,0.000256,0.00132,0.358,0.464,94.196,285107,4
22,6xBc0g73afalVYsYUrsc5l,False,Mommy Can I Go out and Kill Tonight - Live,Misfits,Walk Among Us,['Misfits'],0.247,0.852,2,-14.872,1,0.148,0.141,0.000182,0.573,0.11,208.569,118360,4
23,6o43Gi1cX7Nyi6koSkwIBc,False,Navy Light,Labyrinth Ear,Oak,['Labyrinth Ear'],0.747,0.696,11,-9.508,0,0.0465,0.00119,0.5,0.0964,0.891,130.324,187507,4
24,4fKxslsRdjJ9DQVLlT8K4r,False,About You,Computer Magic,Hiding from More of Our Time EP,['Computer Magic'],0.205,0.408,0,-6.129,1,0.0367,0.0925,0.00079,0.106,0.354,203.366,192941,4
25,43o7PowhXdkjBlaGC6GIfg,False,On The Bound,Fiona Apple,When The Pawn...,['Fiona Apple'],0.654,0.577,0,-8.217,0,0.0285,0.0506,0.0499,0.481,0.657,116.903,322000,4
26,0WDARMlKHcDBm1r0PGaFCI,False,Not About Love,Fiona Apple,Extraordinary Machine,['Fiona Apple'],0.421,0.416,0,-9.256,1,0.0326,0.165,0.0,0.11,0.113,138.115,259413,3
27,7oQcqeb9FTPAkW6uVtHWeZ,False,Red Red Red,Fiona Apple,Extraordinary Machine,['Fiona Apple'],0.25,0.176,7,-12.985,1,0.0316,0.448,0.000106,0.109,0.0376,180.092,248053,3
28,58rxpgox81Lb5kw3NO0Sq7,False,Parting Gift,Fiona Apple,Extraordinary Machine,['Fiona Apple'],0.41,0.149,9,-9.811,1,0.0379,0.934,0.0,0.112,0.313,181.375,214787,3
29,4eZPjR0dLEYvH5Ku26rnLi,False,Hot Knife,Fiona Apple,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),['Fiona Apple'],0.783,0.464,5,-13.55,0,0.143,0.858,1.37e-05,0.152,0.812,97.499,242040,4
30,18U67rsYOw5X0rY7LJzZQD,False,Left Alone,Fiona Apple,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do (Expanded Edition),['Fiona Apple'],0.495,0.416,10,-13.717,0,0.041,0.673,0.0204,0.103,0.362,171.167,290680,3
31,7vcNp4cj4uF4AyX5aKY4Ps,False,You're Not Good Enough,Blood Orange,Cupid Deluxe,['Blood Orange'],0.74,0.798,0,-6.55,1,0.146,0.189,0.00128,0.305,0.571,119.964,261360,4
32,0AEPP2eTyzjU0C6IEmroVO,False,Bad Habit,The Dresden Dolls,The Dresden Dolls,['The Dresden Dolls'],0.407,0.799,8,-6.25,1,0.105,0.165,0.0,0.0654,0.569,178.293,181507,3
33,7tpziW2B15nYmgGYHLqbwu,False,Feed Me To The Forest,The Blood Brothers,Crimes,['The Blood Brothers'],0.314,0.925,0,-5.07,1,0.356,0.000569,0.0263,0.544,0.475,86.281,143587,4
34,1B0Thx3eY7d6DCbiwiYHCK,False,Fantastic Cat,Takako Minekawa,Roomic Cube,['Takako Minekawa'],0.781,0.684,8,-10.282,1,0.0402,0.175,0.105,0.116,0.978,131.255,238733,4
35,58ITGKThH6gQ4qfkir8kKb,False,Unconscious Melody,Preoccupations,Cassette,['Preoccupations'],0.631,0.797,5,-8.107,1,0.0714,0.00334,0.298,0.109,0.844,115.251,180093,4
36,5ZvPW0yyIXhFSXTeNMM3Ay,False,Fools Rush In (Where Angels Fear To Tread),Bow Wow Wow,Girl Bites Dog,['Bow Wow Wow'],0.721,0.691,8,-9.682,1,0.0713,0.672,0.0113,0.0868,0.833,143.68,132707,4
37,6gNyWXWnOmNwhHmrqCoq6z,False,Is This Power,The Field,Looping State Of Mind,['The Field'],0.593,0.578,6,-10.355,0,0.0272,0.00329,0.789,0.195,0.493,112.478,519013,4
38,6cgvDYk7YGQTVfd5jsw0Qw,False,SCREAM,Grimes,Art Angels,"['Grimes', '潘PAN']",0.69,0.916,1,-5.922,0,0.0708,0.00453,0.0296,0.324,0.657,112.045,140140,4
39,4zxFmAlT6ovJIQKX21nIBF,False,A Sentence Of Sorts In Kongsvinger,of Montreal,"Hissing Fauna, Are You The Destroyer?",['of Montreal'],0.683,0.822,5,-4.771,1,0.152,0.301,0.00025,0.122,0.562,119.999,296427,4
40,37Oojxm0tKyUFiyfn52LHU,False,Disco//very,Warpaint,Warpaint,['Warpaint'],0.644,0.763,1,-7.939,1,0.0356,0.00492,0.0483,0.167,0.644,97.144,244397,4
41,3MVL733KX2m9G76qPnTttk,False,Tibetan Pop Stars,Hop Along,Get Disowned,['Hop Along'],0.561,0.707,4,-7.038,1,0.0397,0.0719,0.0,0.0782,0.559,122.816,261122,4
42,3kvQyKMnpHUXYCWXvn5Bi8,False,Bunny Ain't No Kind Of Rider,of Montreal,"Hissing Fauna, Are You The Destroyer?",['of Montreal'],0.685,0.931,9,-5.237,1,0.127,0.251,0.000994,0.163,0.328,125.92,231200,4
43,1CLKRtgEMaV5vUgB3pWZDe,False,"Oh, oh, chéri - Remastered",Françoise Hardy,Quelle merveille! (Remastered),['Françoise Hardy'],0.782,0.396,1,-11.633,1,0.0383,0.715,2.07e-05,0.0935,0.922,92.033,138457,4
44,6rqUOLt9dpfMANLMKTzoWj,False,Le temps de l'amour - Fox Medium,Françoise Hardy,Françoise Hardy (Tous les garçons et les filles),['Françoise Hardy'],0.588,0.414,1,-10.116,0,0.0336,0.796,0.0,0.152,0.709,132.229,144827,4
45,6aRy3XEJMq9SeZKz2pV9q4,False,Voilà,Françoise Hardy,Ma jeunesse fout l'camp,['Françoise Hardy'],0.125,0.53,3,-8.495,1,0.0307,0.0866,0.367,0.109,0.461,61.84,202533,4
46,6R6ZtQceW7oQPbJ6k5CqkK,False,Kazham,水田 直志,FINAL FANTASY XI ジラ-トの幻影 Original Soundtrack,['水田 直志'],0.42,0.573,7,-11.514,1,0.0285,0.695,0.96,0.198,0.319,94.934,158400,4
47,5GpmN52Cd9nkTRDjbgcV0q,False,エアリスのテーマ,Nobuo Uematsu,FINAL FANTASY VII Original Soundtrack,['Nobuo Uematsu'],0.176,0.0943,2,-12.231,1,0.0341,0.926,0.889,0.218,0.062,144.632,258227,4
48,5uTjNzGKCQ50synrf9dWmT,False,Ritual Union,Little Dragon,Ritual Union,['Little Dragon'],0.7,0.738,1,-4.398,1,0.0324,0.0381,0.00527,0.22,0.796,144.035,210267,4
49,6BtoVDX3JfmtawFEGHTDN5,False,Florida,STRFKR,Starfucker,['STRFKR'],0.658,0.897,5,-7.526,1,0.0316,0.151,0.777,0.178,0.969,139.99,230587,4
50,3Cl35xMXJUEhpPaYBeNUQR,False,Lover's Spit,Broken Social Scene,You Forgot It In People,['Broken Social Scene'],0.327,0.585,0,-6.957,1,0.0287,0.00183,0.281,0.0588,0.153,77.537,382240,4
51,57jnmvMS17LdXuiqgvmO8d,False,Waterwings (And Other Pool Side Fashion Faux Pas),Alexisonfire,Alexisonfire,['Alexisonfire'],0.462,0.968,6,-3.431,1,0.106,2.95e-06,0.131,0.0695,0.589,116.024,161347,4
52,0lDoG5fQ9cmpvpenwR7Jln,False,Incinerate,Sonic Youth,Rather Ripped,['Sonic Youth'],0.446,0.866,8,-8.016,1,0.0342,0.0794,0.543,0.137,0.455,152.172,295813,4
53,1VzqqqqQ52G5VwzBNMZu1H,False,Kino,The Knife,The Knife,['The Knife'],0.714,0.913,11,-4.787,1,0.0285,0.132,0.11,0.271,0.88,134.998,193480,4
54,2xx7OB3zpDbLEEJB09BQj3,False,'75 aka Stay With You,Lemon Jelly,'64-'95,['Lemon Jelly'],0.709,0.821,1,-7.919,1,0.0426,0.0312,0.763,0.127,0.301,126.006,371813,4
55,2lJSlVayNDdEZuPqlIPPcm,False,You've Been Flirting Again,Björk,Post,['Björk'],0.221,0.0495,5,-21.073,1,0.0397,0.946,0.000242,0.123,0.136,71.603,149600,3
56,2DjBfhvS7yRM2l1sk0Jnti,False,Cover Me,Björk,Post,['Björk'],0.346,0.278,4,-22.583,0,0.0428,0.939,0.516,0.64,0.276,102.566,126133,5
57,6IIqjp84h4ms1gzFQl963o,False,Headphones,Björk,Post,['Björk'],0.515,0.0318,11,-29.088,0,0.0427,0.634,0.0448,0.101,0.109,170.117,340067,5
58,4z1fNs2B7KndCsvyPgrhq5,False,Hyperballad,Björk,Post,['Björk'],0.519,0.437,7,-12.97,0,0.0325,0.0216,0.000974,0.375,0.0356,134.933,321360,4
59,5NWhPxiXYecrYrI9GbM7zL,False,The Modern Things,Björk,Post,['Björk'],0.253,0.373,4,-13.564,1,0.0804,0.233,0.0,0.182,0.301,200.145,249400,4
60,5OnyZ56HLhrWOXdzeETqLk,False,Human Behaviour,Björk,Debut,['Björk'],0.681,0.65,2,-14.637,1,0.0358,0.0396,0.0358,0.101,0.508,109.454,252360,4
61,2r2po2XXRmk9zgiFYHcHNZ,False,Crying,Björk,Debut,['Björk'],0.658,0.678,4,-11.123,0,0.0309,0.00602,0.0155,0.413,0.702,116.203,289733,4
62,5G9LvzXcBoIBXOd2jzdJTs,False,Venus as a Boy,Björk,Debut,['Björk'],0.617,0.393,1,-11.767,1,0.0353,0.0314,0.00512,0.067,0.84,136.213,282560,4
63,1ENAzA89W0Cln8dlzdgECJ,False,There's More to Life Than This - Live Version,Björk,Debut,['Björk'],0.731,0.5,7,-12.953,1,0.0383,0.0657,0.0525,0.946,0.706,124.229,201533,4
64,0eDVClItJH4PkfPu7dciKP,False,Like Someone in Love,Björk,Debut,['Björk'],0.426,0.15,9,-14.988,0,0.0369,0.965,8.38e-05,0.139,0.0699,83.104,273400,4
65,0X0LTI0MQG9S3FLSUvjrj5,False,Big Time Sensuality,Björk,Debut,['Björk'],0.723,0.732,1,-12.251,0,0.0963,7.67e-05,0.0135,0.18,0.516,118.582,236640,4
66,6UpuOU6war07TYHUMtbEvZ,False,One Day,Björk,Debut,['Björk'],0.618,0.515,0,-13.336,1,0.0353,0.00415,0.00258,0.114,0.192,105.175,324267,4
67,613lByoIWTGjEYQUhC1LJI,False,Aeroplane,Björk,Debut,['Björk'],0.573,0.292,7,-14.097,1,0.0323,0.0807,0.00238,0.126,0.123,104.454,234467,4
68,2ir9cmvZIpFYxaeMTa76DS,False,Come to Me,Björk,Debut,['Björk'],0.485,0.594,5,-13.563,1,0.0335,0.00186,3.41e-05,0.115,0.344,173.456,295360,4
69,1oyRhrmdRoJj0rUe7b22FS,False,Violently Happy,Björk,Debut,['Björk'],0.69,0.603,7,-14.367,1,0.0493,0.237,0.00501,0.129,0.246,120.335,299173,4
70,5XIMjot4Gcy5JGDpFqtp6r,False,The Anchor Song,Björk,Debut,['Björk'],0.514,0.0328,0,-14.75,1,0.0613,0.938,1.62e-06,0.0586,0.364,115.979,212360,4
71,3a6WUDkHyuZUIpSZ2fC4NW,False,All Of This,blink-182,blink-182 (explicit version) [Explicit Version],['blink-182'],0.681,0.648,9,-5.323,1,0.0318,0.00512,0.0141,0.115,0.684,117.649,279986,4
72,35PI5Hsq17h723EbyyDFsi,False,Suburban Home,Descendents,Milo Goes to College,['Descendents'],0.388,0.771,2,-9.393,1,0.0385,5.46e-05,0.0,0.359,0.826,99.258,100600,3
73,7vAMAehFLHCvb5juuQWIz4,False,Close to Me,The Cure,Greatest Hits,['The Cure'],0.67,0.482,11,-12.511,1,0.145,0.273,0.136,0.318,0.947,184.92,220533,4
74,1KpuWb0uPEzSM2PIh5JIwI,False,The Lucky One,Au Revoir Simone,The Bird Of Music (Bonus Track),['Au Revoir Simone'],0.312,0.216,0,-13.123,1,0.0387,0.0883,0.000469,0.0788,0.068,80.969,272360,4
75,4bZnIdaGBf162pZEkxXSgQ,False,It's Not up to You,Björk,Vespertine,['Björk'],0.534,0.448,1,-12.456,0,0.0653,0.551,0.000125,0.0569,0.279,159.825,308933,4
76,6wcihQv2JhHwQfNWakzUzd,False,Some Things Last A Long Time,Daniel Johnston,Welcome To My World,['Daniel Johnston'],0.533,0.131,0,-10.624,1,0.0346,0.962,0.0724,0.121,0.201,78.91,292867,3
77,7sZHiFxzN3v7uTeC3BvxHX,False,Cocoon,Björk,Vespertine,['Björk'],0.797,0.381,1,-14.858,1,0.0508,0.659,0.168,0.11,0.107,127.855,268093,4
78,20ZvzoDSefcZo6bj10jgGC,False,Joga,Björk,Homogenic,['Björk'],0.321,0.697,1,-6.266,0,0.057,0.405,0.000155,0.0721,0.234,146.161,305667,4
79,33w6ATHUKJZLIKeYiXIptM,False,It's in Our Hands,Björk,Greatest Hits,['Björk'],0.512,0.703,7,-9.442,0,0.0459,0.0461,0.054,0.106,0.344,175.976,254907,4
80,4oDbSKJpTG2nZvHWxTCxDf,False,You Look So Fine,Garbage,Version 2.0,['Garbage'],0.566,0.696,4,-8.471,0,0.025,0.332,0.134,0.087,0.26,103.856,324147,4
81,0sIk8fruA5B3Evgqlt45ir,False,When You Were Mine,Cyndi Lauper,She's So Unusual,['Cyndi Lauper'],0.698,0.857,9,-7.151,1,0.0426,0.296,9.11e-06,0.0904,0.502,127.035,306707,4
82,4oeXlAxl88Wji2yXk0RE8K,False,I Love You All The Time,OH NO OH MY,Oh No! Oh My!,['OH NO OH MY'],0.41,0.804,4,-7.102,0,0.0485,0.155,0.761,0.416,0.583,159.884,138013,4
83,6ZztEQqH41ahgxml4qzKXj,False,Discotraxx,Ladytron,604,['Ladytron'],0.535,0.895,6,-6.703,0,0.0673,0.000758,0.83,0.0964,0.627,119.639,230640,4
84,6OlC7PV73ZAFVOW2J0Xp9O,False,Get Up,Sleater-Kinney,The Hot Rock (Remastered),['Sleater-Kinney'],0.509,0.929,4,-4.183,1,0.0391,0.00594,0.000106,0.0988,0.664,142.607,226373,4
85,0T6kwiueP62ten2KLLmQS4,False,A Forest,The Cure,Seventeen Seconds (Deluxe Edition),['The Cure'],0.579,0.622,0,-11.285,1,0.0563,0.365,0.652,0.0955,0.435,163.107,354290,4
86,2gZ004qCMK82mKtOyJsdCC,False,Hang Me Out To Dry (With Robyn),Metronomy,Summer 08,"['Metronomy', 'Robyn']",0.381,0.423,1,-12.356,1,0.0517,0.4,0.0289,0.149,0.24,130.07,230173,4
87,6tU4nWx67R1e4bRbfTO22g,False,Silver Springs - Early Take,Fleetwood Mac,Rumours (Deluxe Edition),['Fleetwood Mac'],0.465,0.438,0,-7.525,1,0.0259,0.728,7.85e-06,0.0909,0.174,92.849,331720,4
88,1eREJIBdqeCcqNCB1pbz7w,False,Keep You,Wild Belle,Isles,['Wild Belle'],0.64,0.893,7,-5.795,0,0.0475,0.0406,0.00738,0.0735,0.919,133.973,210613,4
89,5lJ82USsgwL4e137fqmj2P,False,You Don't Own Me,Lesley Gore,20th Century Masters: The Millennium Collection: Best Of Lesley Gore,['Lesley Gore'],0.466,0.582,2,-6.207,1,0.0252,0.762,3.28e-05,0.619,0.704,95.089,151800,3
90,7k5dNiHDR47XeeB7g4kfFu,False,This Must Be It,Röyksopp,Junior,['Röyksopp'],0.525,0.958,7,-4.766,1,0.0589,0.00014,0.000335,0.793,0.521,121.88,281520,4
91,3897s4XOWQczz0a0FOEiJy,False,Black Coffee,Black Flag,Slip It In,['Black Flag'],0.287,0.886,11,-10.937,0,0.0691,0.161,0.0175,0.347,0.279,163.245,295800,4
92,5pCTXoSYslXKP2D21e3ZJK,False,Kim & Jessie,M83,Saturdays = Youth,['M83'],0.498,0.553,5,-6.193,1,0.0332,0.000103,0.528,0.273,0.235,111.015,322933,4
93,5EtCkmRgO2NMfa3BQZMtBp,False,Not In Love,Crystal Castles,(II),"['Crystal Castles', 'Robert Smith']",0.477,0.98,7,-4.204,0,0.0887,0.000834,0.00963,0.357,0.199,135.902,226987,4
94,5GHwCpwEos0FzYe55slXEp,False,The Lovecats,The Cure,Greatest Hits,['The Cure'],0.74,0.816,0,-4.764,1,0.0765,0.497,0.0,0.195,0.963,91.91,220427,4
95,6i3i8Mm2ul9SdYxPWVnoDp,False,Football Head,Flamingosis,Pleasure Palette,['Flamingosis'],0.662,0.212,1,-14.638,1,0.0523,0.66,0.57,0.609,0.584,89.996,224917,4
96,2h3YMeKDEMjtp6vMQO0PcW,False,Closer,Lemon Jelly,Lost Horizons,['Lemon Jelly'],0.546,0.846,9,-5.792,1,0.0281,0.138,0.943,0.275,0.699,120.002,444040,4
97,0Ps4Eh6SQjeLnubbCsQTDD,False,Little Bit,Lykke Li,Youth Novels,['Lykke Li'],0.819,0.736,7,-6.504,1,0.0416,0.158,0.00161,0.109,0.701,120.318,273427,4
98,3s48Baskq9lB3ARIDuv3IU,False,Here I Dreamt I Was an Architect,The Decemberists,Castaways and Cutouts,['The Decemberists'],0.411,0.754,7,-6.515,1,0.0294,0.101,2.83e-06,0.141,0.602,189.9,269147,4
99,2vH9HiCgQLkYYTMKoUdd71,False,Raphael,CocoRosie,The Adventures of Ghosthorse & Stillborn,['CocoRosie'],0.701,0.4,0,-10.125,1,0.0493,0.574,9.85e-06,0.226,0.209,115.118,168400,4
